Job,Operation,Machine,Start,Duration,End,Worker
1,1,4,1,51,52,None
1,2,8,77,11,88,None
1,3,7,95,11,106,None
1,4,4,161,34,195,None
1,5,4,195,0,195,None
2,1,3,13,39,52,None
2,2,6,99,52,151,None
2,3,6,151,44,195,None
2,4,2,195,0,195,None
3,1,2,4,18,22,None
3,2,9,40,38,78,None
3,3,8,108,17,125,None
3,4,1,125,70,195,None
3,5,4,195,0,195,None
4,1,10,50,36,86,None
4,2,8,88,16,104,None
4,3,4,104,24,128,None
4,4,10,128,37,165,None
5,1,8,40,12,52,None
5,2,3,52,27,79,None
5,3,3,79,27,106,None
5,4,7,106,89,195,None
6,1,2,63,23,86,None
6,2,2,86,57,143,None
6,3,3,143,52,195,None
6,4,10,195,0,195,None
7,1,3,0,13,13,None
7,2,6,68,13,81,None
7,3,1,81,44,125,None
7,4,2,195,0,195,None
7,5,1,195,0,195,None
8,1,2,22,23,45,None
8,2,7,45,42,87,None
8,3,5,87,38,125,None
8,4,1,125,0,125,None
9,1,9,13,27,40,None
9,2,10,86,42,128,None
9,3,8,129,32,161,None
9,4,5,161,34,195,None
9,5,9,195,0,195,None
10,1,4,52,26,78,None
10,2,9,78,87,165,None
10,3,10,165,14,179,None
10,4,9,179,16,195,None
10,5,9,195,0,195,None
