Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,21600,5400,27000,None
1,2,2,30420,4620,35040,None
1,3,3,35640,1980,37620,None
1,4,4,38100,600,38700,None
1,5,5,45600,1080,46680,None
2,1,1,4440,720,5160,None
2,2,2,8700,3420,12120,None
2,3,3,12120,4620,16740,None
2,4,4,16740,1140,17880,None
2,5,5,17880,5640,23520,None
3,1,1,6540,2580,9120,None
3,2,2,16800,1440,18240,None
3,3,3,18600,2580,21180,None
3,4,4,23280,3720,27000,None
3,5,5,28560,2160,30720,None
4,1,1,12240,3180,15420,None
4,2,2,23940,1620,25560,None
4,3,3,26100,2220,28320,None
4,4,4,28320,720,29040,None
4,5,5,35580,180,35760,None
5,1,1,3360,1080,4440,None
5,2,2,5340,3360,8700,None
5,3,3,8700,2940,11640,None
5,4,4,11640,480,12120,None
5,5,5,12480,4380,16860,None
6,1,1,21000,600,21600,None
6,2,2,29220,1200,30420,None
6,3,3,30420,5220,35640,None
6,4,4,35640,2460,38100,None
6,5,5,41100,4500,45600,None
7,1,1,0,3360,3360,None
7,2,2,3360,1980,5340,None
7,3,3,5340,300,5640,None
7,4,4,5640,960,6600,None
7,5,5,6600,5880,12480,None
8,1,1,9120,3120,12240,None
8,2,2,18240,5700,23940,None
8,3,3,23940,2160,26100,None
8,4,4,27000,1080,28080,None
8,5,5,30720,4860,35580,None
9,1,1,5160,1380,6540,None
9,2,2,12120,4680,16800,None
9,3,3,16800,1800,18600,None
9,4,4,18600,4680,23280,None
9,5,5,23520,5040,28560,None
10,1,1,15420,5580,21000,None
10,2,2,25560,3660,29220,None
10,3,3,29220,840,30060,None
10,4,4,30060,5100,35160,None
10,5,5,35760,5340,41100,None
