Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,9120,5400,14520,None
1,2,2,15960,4620,20580,None
1,3,3,20580,1980,22560,None
1,4,4,22560,600,23160,None
1,5,5,30960,1080,32040,None
2,1,1,8400,720,9120,None
2,2,2,12540,3420,15960,None
2,3,3,15960,4620,20580,None
2,4,4,21300,1140,22440,None
2,5,5,25320,5640,30960,None
3,1,1,5820,2580,8400,None
3,2,2,11100,1440,12540,None
3,3,3,12900,2580,15480,None
3,4,4,17580,3720,21300,None
3,5,5,23160,2160,25320,None
4,1,1,23820,3180,27000,None
4,2,2,31140,1620,32760,None
4,3,3,37320,2220,39540,None
4,4,4,39780,720,40500,None
4,5,5,46740,180,46920,None
5,1,1,0,1080,1080,None
5,2,2,1080,3360,4440,None
5,3,3,4440,2940,7380,None
5,4,4,7380,480,7860,None
5,5,5,7860,4380,12240,None
6,1,1,23220,600,23820,None
6,2,2,29940,1200,31140,None
6,3,3,32100,5220,37320,None
6,4,4,37320,2460,39780,None
6,5,5,42240,4500,46740,None
7,1,1,1080,3360,4440,None
7,2,2,4440,1980,6420,None
7,3,3,7380,300,7680,None
7,4,4,7860,960,8820,None
7,5,5,12240,5880,18120,None
8,1,1,20100,3120,23220,None
8,2,2,24240,5700,29940,None
8,3,3,29940,2160,32100,None
8,4,4,32100,1080,33180,None
8,5,5,37380,4860,42240,None
9,1,1,4440,1380,5820,None
9,2,2,6420,4680,11100,None
9,3,3,11100,1800,12900,None
9,4,4,12900,4680,17580,None
9,5,5,18120,5040,23160,None
10,1,1,14520,5580,20100,None
10,2,2,20580,3660,24240,None
10,3,3,24240,840,25080,None
10,4,4,25080,5100,30180,None
10,5,5,32040,5340,37380,None
