Test,Objective,IterationReachBest,Direction
1,148.0,54,0
2,153.0,73,0
3,147.0,54,1
4,150.0,20,0
5,154.0,0,0
6,157.0,14,0
7,158.0,4,0
8,154.0,19,0
9,156.0,50,0
10,149.0,70,0
MinObj,147.0
MaxObj,158.0
MeanObj,152.60
MinIter,0
MaxIter,73
MeanIter,35.80
Direction#0,9
Direction#1,1
