Test,Objective,IterationReachBest,Direction
1,42.0,3,0
2,42.0,0,1
3,42.0,5,1
4,42.0,3,1
5,42.0,0,0
6,42.0,0,0
7,42.0,0,0
8,42.0,2,0
9,42.0,1,0
10,42.0,0,0
MinObj,42.0
MaxObj,42.0
MeanObj,42.00
MinIter,0
MaxIter,5
MeanIter,1.40
Direction#0,7
Direction#1,3
