Test,Objective,IterationReachBest,Direction
1,30.0,15,0
2,29.0,33,1
3,30.0,7,1
4,29.0,0,0
5,29.0,14,1
6,30.0,0,0
7,29.0,51,1
8,30.0,0,1
9,30.0,0,1
10,31.0,0,0
MinObj,29.0
MaxObj,31.0
MeanObj,29.70
MinIter,0
MaxIter,51
MeanIter,12.00
Direction#0,4
Direction#1,6
