Test,Objective,IterationReachBest,Direction
1,184.0,14,0
2,180.0,55,1
3,182.0,0,0
4,182.0,80,0
5,184.0,45,0
6,179.0,109,0
7,183.0,62,0
8,181.0,91,0
9,181.0,29,0
10,180.0,88,1
MinObj,179.0
MaxObj,184.0
MeanObj,181.60
MinIter,0
MaxIter,109
MeanIter,57.30
Direction#0,8
Direction#1,2
