Job,Operation,Machine,Start,Duration,End,Worker
1,1,3,11,3,14,None
1,2,4,20,4,24,None
1,3,6,25,2,27,None
2,1,1,9,4,13,None
2,2,4,17,3,20,None
2,3,9,21,4,25,None
3,1,2,9,5,14,None
3,2,5,20,2,22,None
3,3,8,24,2,26,None
4,1,1,2,4,6,None
4,2,5,9,5,14,None
4,3,6,15,3,18,None
5,1,3,4,3,7,None
5,2,5,14,1,15,None
5,3,6,18,3,21,None
6,1,2,4,5,9,None
6,2,4,12,2,14,None
6,3,7,15,3,18,None
7,1,2,0,2,2,None
7,2,4,5,4,9,None
7,3,6,10,3,13,None
8,1,1,6,3,9,None
8,2,5,15,5,20,None
8,3,7,21,3,24,None
9,1,1,0,2,2,None
9,2,4,4,1,5,None
9,3,9,6,5,11,None
10,1,3,7,4,11,None
10,2,4,14,3,17,None
10,3,6,21,4,25,None
11,1,2,2,2,4,None
11,2,4,9,3,12,None
11,3,9,13,5,18,None
12,1,3,0,4,4,None
12,2,5,5,4,9,None
12,3,7,10,4,14,None
