Test,Objective,IterationReachBest,Direction
1,28.0,31,0
2,28.0,14,0
3,28.0,35,0
4,27.0,46,0
5,28.0,24,1
6,28.0,20,0
7,28.0,20,0
8,27.0,29,0
9,28.0,14,0
10,28.0,19,0
MinObj,27.0
MaxObj,28.0
MeanObj,27.80
MinIter,14
MaxIter,46
MeanIter,25.20
Direction#0,9
Direction#1,1
