Test,Objective,IterationReachBest,Direction
1,146.0,55,0
2,149.0,27,0
3,149.0,29,0
4,149.0,12,0
5,148.0,34,0
6,148.0,0,0
7,149.0,15,0
8,149.0,47,0
9,143.0,91,0
10,148.0,40,0
MinObj,143.0
MaxObj,149.0
MeanObj,147.80
MinIter,0
MaxIter,91
MeanIter,35.00
Direction#0,10
Direction#1,0
