Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,0,2,2,None
1,2,4,2,4,6,None
1,3,6,6,2,8,None
2,1,1,2,4,6,None
2,2,4,9,3,12,None
2,3,7,12,4,16,None
3,1,3,12,4,16,None
3,2,5,20,2,22,None
3,3,8,22,2,24,None
4,1,2,0,3,3,None
4,2,5,3,5,8,None
4,3,6,8,3,11,None
5,1,1,6,4,10,None
5,2,5,12,1,13,None
5,3,6,15,3,18,None
6,1,2,3,5,8,None
6,2,4,12,2,14,None
6,3,7,16,3,19,None
7,1,2,10,2,12,None
7,2,4,17,4,21,None
7,3,6,21,3,24,None
8,1,3,8,4,12,None
8,2,5,15,5,20,None
8,3,7,20,3,23,None
9,1,1,10,2,12,None
9,2,5,13,2,15,None
9,3,8,15,6,21,None
10,1,3,0,4,4,None
10,2,4,6,3,9,None
10,3,6,11,4,15,None
11,1,2,8,2,10,None
11,2,4,14,3,17,None
11,3,9,17,5,22,None
12,1,3,4,4,8,None
12,2,5,8,4,12,None
12,3,9,12,5,17,None
