Test,Objective,IterationReachBest,Direction
1,180.0,15,0
2,176.0,104,0
3,179.0,38,0
4,180.0,37,0
5,179.0,39,0
6,178.0,84,0
7,180.0,5,0
8,179.0,49,0
9,179.0,55,0
10,177.0,60,0
MinObj,176.0
MaxObj,180.0
MeanObj,178.70
MinIter,5
MaxIter,104
MeanIter,48.60
Direction#0,10
Direction#1,0
