Job,Operation,Machine,Start,Duration,End,Worker
1,1,10,10,14,24,None
1,2,6,82,19,101,None
1,3,2,126,36,162,None
1,4,5,162,12,174,None
1,5,2,174,0,174,None
2,1,6,0,69,69,None
2,2,9,69,32,101,None
2,3,9,101,14,115,None
2,4,3,148,24,172,None
3,1,9,0,18,18,None
3,2,3,18,39,57,None
3,3,6,101,48,149,None
3,4,4,149,0,149,None
3,5,2,162,0,162,None
4,1,10,0,10,10,None
4,2,1,10,50,60,None
4,3,5,60,85,145,None
4,4,10,145,0,145,None
5,1,5,0,18,18,None
5,2,4,18,56,74,None
5,3,5,145,11,156,None
5,4,10,156,0,156,None
6,1,2,0,47,47,None
6,2,2,47,79,126,None
6,3,9,126,46,172,None
6,4,2,172,0,172,None
7,1,3,0,13,13,None
7,2,6,69,13,82,None
7,3,4,82,37,119,None
7,4,2,126,0,126,None
7,5,1,126,0,126,None
8,1,7,0,33,33,None
8,2,5,33,15,48,None
8,3,1,60,29,89,None
8,4,8,106,0,106,None
9,1,8,0,13,13,None
9,2,8,77,29,106,None
9,3,10,106,32,138,None
9,4,3,138,10,148,None
9,5,10,148,0,148,None
10,1,8,13,24,37,None
10,2,8,37,40,77,None
10,3,3,77,43,120,None
10,4,1,126,36,162,None
10,5,10,162,11,173,None
