Job,Operation,Machine,Start,Duration,End,Worker
1,1,9,156,25,181,None
1,2,1,125,31,156,None
1,3,8,92,33,125,None
1,4,10,0,92,92,None
2,1,4,173,29,202,None
2,2,10,148,25,173,None
2,3,4,48,40,88,None
2,4,4,0,48,48,None
3,1,5,148,72,220,None
3,2,10,92,56,148,None
3,3,5,0,10,10,None
3,4,6,0,0,0,None
3,5,10,0,0,0,None
4,1,9,111,11,122,None
4,2,6,84,27,111,None
4,3,7,63,21,84,None
4,4,3,63,0,63,None
4,5,2,32,0,32,None
5,1,5,220,22,242,None
5,2,2,122,39,161,None
5,3,2,42,80,122,None
5,4,8,21,21,42,None
6,1,7,166,41,207,None
6,2,8,125,41,166,None
6,3,3,63,17,80,None
6,4,8,0,21,21,None
7,1,8,190,45,235,None
7,2,1,156,34,190,None
7,3,3,80,59,139,None
7,4,9,32,14,46,None
7,5,2,0,32,32,None
8,1,2,161,41,202,None
8,2,7,84,41,125,None
8,3,6,0,27,27,None
8,4,6,0,0,0,None
8,5,9,0,0,0,None
9,1,1,86,13,99,None
9,2,9,52,15,67,None
9,3,6,32,20,52,None
9,4,7,32,0,32,None
9,5,2,32,0,32,None
10,1,4,88,33,121,None
10,2,1,63,23,86,None
10,3,3,0,63,63,None
