Test,Objective,IterationReachBest,Direction
1,40.0,90,0
2,40.0,60,0
3,40.0,46,0
4,40.0,98,0
5,40.0,17,0
6,41.0,143,0
7,40.0,67,0
8,40.0,43,0
9,40.0,21,0
10,40.0,162,0
MinObj,40.0
MaxObj,41.0
MeanObj,40.10
MinIter,17
MaxIter,162
MeanIter,74.70
Direction#0,10
Direction#1,0
