Test,Objective,IterationReachBest,Direction
1,11.0,0,0
2,11.0,0,1
3,11.0,0,0
4,11.0,1,1
5,11.0,1,0
6,11.0,0,0
7,11.0,1,1
8,11.0,1,1
9,11.0,0,0
10,11.0,0,0
MinObj,11.0
MaxObj,11.0
MeanObj,11.00
MinIter,0
MaxIter,1
MeanIter,0.40
Direction#0,6
Direction#1,4
