Test,Objective,IterationReachBest,Direction
1,2122.0,8,0
MinObj,2122.0
MaxObj,2122.0
MeanObj,2122.00
MinIter,8
MaxIter,8
MeanIter,8.00
Direction#0,1
Direction#1,0
