Test,Objective,IterationReachBest,Direction
1,24.0,0,0
2,24.0,0,0
3,24.0,0,0
4,24.0,0,1
5,24.0,0,1
6,24.0,0,1
7,24.0,0,0
8,24.0,0,0
9,24.0,0,0
10,24.0,0,1
MinObj,24.0
MaxObj,24.0
MeanObj,24.00
MinIter,0
MaxIter,0
MeanIter,0.00
Direction#0,6
Direction#1,4
