Test,Objective,IterationReachBest,Direction
1,740.0,95,0
2,733.0,116,0
3,749.0,37,1
4,733.0,91,0
5,730.0,212,1
6,730.0,116,1
7,715.0,149,0
8,738.0,187,0
9,734.0,224,1
10,765.0,14,0
MinObj,715.0
MaxObj,765.0
MeanObj,736.70
MinIter,14
MaxIter,224
MeanIter,124.10
Direction#0,6
Direction#1,4
