Test,Objective,IterationReachBest,Direction
1,18.0,0,1
2,18.0,0,1
3,18.0,0,0
4,18.0,0,0
5,18.0,0,1
6,18.0,0,1
7,18.0,0,1
8,18.0,0,1
9,18.0,0,1
10,18.0,0,1
MinObj,18.0
MaxObj,18.0
MeanObj,18.00
MinIter,0
MaxIter,0
MeanIter,0.00
Direction#0,2
Direction#1,8
