Test,Objective,IterationReachBest,Direction
1,1193.0,167,0
2,1231.0,128,0
3,1254.0,31,0
4,1225.0,72,0
5,1197.0,97,1
6,1254.0,71,1
7,1230.0,57,1
8,1216.0,126,0
9,1206.0,94,1
10,1202.0,112,0
MinObj,1193.0
MaxObj,1254.0
MeanObj,1220.80
MinIter,31
MaxIter,167
MeanIter,95.50
Direction#0,6
Direction#1,4
