Test,Objective,IterationReachBest,Direction
1,666.0,15,0
2,666.0,11,1
3,666.0,15,1
4,666.0,11,1
5,666.0,22,0
6,666.0,10,1
7,666.0,4,1
8,666.0,21,0
9,666.0,19,0
10,666.0,23,0
MinObj,666.0
MaxObj,666.0
MeanObj,666.00
MinIter,4
MaxIter,23
MeanIter,15.10
Direction#0,5
Direction#1,5
