Test,Objective,IterationReachBest,Direction
1,756.0,74,1
2,739.0,165,1
3,761.0,64,0
4,753.0,94,0
5,753.0,103,0
6,766.0,74,1
7,749.0,173,1
8,750.0,95,0
9,755.0,98,0
10,760.0,63,1
MinObj,739.0
MaxObj,766.0
MeanObj,754.20
MinIter,63
MaxIter,173
MeanIter,100.30
Direction#0,5
Direction#1,5
