Test,Objective,IterationReachBest,Direction
1,1039.0,3,0
2,1039.0,3,1
3,1039.0,8,1
4,1039.0,1,0
5,1039.0,5,0
6,1039.0,5,0
7,1039.0,3,1
8,1039.0,8,1
9,1039.0,3,1
10,1039.0,2,1
MinObj,1039.0
MaxObj,1039.0
MeanObj,1039.00
MinIter,1
MaxIter,8
MeanIter,4.10
Direction#0,4
Direction#1,6
