Test,Objective,IterationReachBest,Direction
1,2182.0,227,0
2,2283.0,75,0
3,2205.0,88,0
4,2202.0,157,0
5,2227.0,176,0
6,2158.0,225,0
7,2250.0,178,0
8,2255.0,167,0
9,2173.0,203,0
10,2237.0,73,0
MinObj,2158.0
MaxObj,2283.0
MeanObj,2217.20
MinIter,73
MaxIter,227
MeanIter,156.90
Direction#0,10
Direction#1,0
