Test,Objective,IterationReachBest,Direction
1,2037.0,20,0
2,2013.0,84,0
3,1999.0,86,0
4,2084.0,40,0
5,2041.0,103,0
6,2031.0,107,0
7,2038.0,47,0
8,2060.0,60,0
9,2004.0,173,0
10,2019.0,92,0
MinObj,1999.0
MaxObj,2084.0
MeanObj,2032.60
MinIter,20
MaxIter,173
MeanIter,81.20
Direction#0,10
Direction#1,0
