Test,Objective,IterationReachBest,Direction
1,532.0,184,0
2,542.0,158,0
3,546.0,64,0
4,537.0,113,0
5,533.0,164,0
6,537.0,110,0
7,544.0,81,0
8,533.0,127,0
9,537.0,121,0
10,535.0,179,0
MinObj,532.0
MaxObj,546.0
MeanObj,537.60
MinIter,64
MaxIter,184
MeanIter,130.10
Direction#0,10
Direction#1,0
