Test,Objective,IterationReachBest,Direction
1,142.0,36,0
2,141.0,81,0
3,142.0,18,0
4,144.0,47,0
5,145.0,17,0
6,144.0,66,0
7,145.0,20,0
8,140.0,146,0
9,137.0,117,0
10,144.0,36,0
MinObj,137.0
MaxObj,145.0
MeanObj,142.40
MinIter,17
MaxIter,146
MeanIter,58.40
Direction#0,10
Direction#1,0
