Test,Objective,IterationReachBest,Direction
1,6590.0,6,0
2,6590.0,28,0
3,6590.0,3,0
4,6590.0,0,0
5,6590.0,3,0
6,6590.0,13,0
7,6590.0,9,0
8,6643.0,8,0
9,6590.0,8,0
10,6590.0,7,0
MinObj,6590.0
MaxObj,6643.0
MeanObj,6595.30
MinIter,0
MaxIter,28
MeanIter,8.50
Direction#0,10
Direction#1,0
